구,2019,2020,2021,2022
종로구,"39,679","50,531","48,361","47,595"
중구,"60,127","76,129","70,308","68,143"
용산구,"20,254","31,507","29,680","28,047"
성동구,"28,343","41,582","41,665","41,306"
광진구,"24,445","35,423","33,706","33,325"
동대문구,"31,324","43,029","42,813","42,491"
중랑구,"28,228","38,558","39,310","40,320"
성북구,"23,617","34,420","34,712","35,162"
강북구,"19,014","26,711","26,385","26,114"
도봉구,"18,628","25,607","25,391","25,193"
노원구,"26,618","37,442","37,909","38,018"
은평구,"24,681","36,273","36,509","36,430"
서대문구,"20,095","28,769","28,522","28,427"
마포구,"37,290","58,694","56,782","55,516"
양천구,"25,894","37,183","37,929","37,774"
강서구,"39,458","58,788","58,806","59,660"
구로구,"38,756","53,547","52,791","52,988"
금천구,"33,814","47,354","47,964","48,438"
영등포구,"42,370","74,060","74,562","75,470"
동작구,"19,793","28,505","27,915","27,120"
관악구,"25,505","38,639","37,915","36,814"
서초구,"46,940","75,858","71,958","69,975"
강남구,"71,027","115,054","110,007","107,804"
송파구,"48,644","76,412","74,531","74,738"
강동구,"29,080","40,978","41,660","43,157"
