자치구,22_1,22_2,22_3,22_4,23_1,23_2,23_3,23_4,24_1
강남구,35.5,35.5,35.5,35.4,38.3,38.5,38.9,39.0,39.1
강남구,68.9,69.0,69.0,69.1,69.1,69.2,69.5,69.8,70.6
강남구,61.1,61.3,61.4,61.6,61.6,62.2,63.0,63.0,63.0
강남구,43.1,43.3,43.8,43.8,45.9,48.2,49.7,50.6,51.9
강남구,69.5,69.7,69.7,69.8,70.3,70.8,71.0,71.4,71.4
강남구,102.8,103.1,103.0,85.0,85.2,85.5,85.7,86.3,86.4
강남구,46.7,45.1,45.1,45.0,45.3,45.4,45.5,45.5,46.0
강남구,59.8,63.9,64.0,63.9,64.9,65.0,66.0,66.1,66.4
강동구,55.0,55.0,55.1,55.0,55.4,55.6,56.0,56.1,55.9
강북구,34.4,34.5,34.6,34.6,37.4,37.5,37.5,37.5,37.5
강북구,35.7,36.3,36.4,36.4,36.5,36.6,37.0,37.0,37.1
강서구,28.6,28.6,28.6,28.6,28.5,28.5,28.5,28.7,28.8
관악구,60.1,60.2,60.2,60.2,60.2,60.2,60.4,60.6,60.7
관악구,70.8,70.8,70.8,70.8,70.8,70.9,70.9,70.9,71.0
광진구,31.9,32.0,31.9,31.8,32.0,32.0,32.0,32.1,32.2
광진구,46.4,46.6,46.5,46.5,46.5,46.4,46.5,46.7,46.7
구로구,47.1,47.1,47.1,47.1,47.2,47.1,47.1,47.1,47.2
금천구,31.2,31.1,31.1,31.1,31.1,31.1,31.2,31.2,31.2
노원구,26.3,26.3,26.3,26.3,26.2,26.3,26.3,26.2,26.2
동대문구,33.0,33.7,33.8,33.9,33.9,34.0,34.3,34.3,34.4
동대문구,41.2,41.0,40.9,40.6,40.5,40.6,40.6,40.6,40.8
동대문구,45.4,45.3,45.6,45.8,45.8,46.1,46.4,46.7,46.7
동대문구,47.5,47.6,47.6,47.3,47.2,47.8,48.0,48.0,48.1
동작구,26.6,26.8,26.8,26.7,26.9,26.4,26.4,26.4,26.3
동작구,43.5,43.5,43.4,43.5,43.6,43.7,44.2,44.3,44.4
마포구,56.9,56.9,56.9,56.5,56.6,56.6,56.7,56.7,56.7
마포구,42.6,42.4,42.9,42.7,41.3,41.3,41.3,41.4,41.5
마포구,51.0,51.6,51.7,51.7,51.7,51.7,51.8,51.8,52.0
마포구,47.7,47.4,47.5,47.4,47.3,47.3,47.5,47.5,47.5
서대문구,34.3,38.7,38.7,38.6,38.5,38.5,38.7,38.8,38.9
서초구,40.8,40.9,40.9,40.7,40.9,40.9,41.0,41.0,41.3
성동구,44.4,44.4,44.6,44.6,44.7,44.8,45.0,45.0,45.1
성동구,47.2,47.9,48.2,48.3,48.7,49.3,50.1,51.0,52.0
성북구,51.5,51.7,51.8,51.8,52.2,52.3,53.1,53.3,53.6
송파구,34.1,34.1,34.1,34.1,34.2,34.2,34.2,34.3,34.4
송파구,32.6,32.6,32.6,32.6,32.6,32.7,32.4,32.5,32.5
송파구,31.1,31.1,31.1,31.0,31.0,30.8,30.7,30.7,30.7
양천구,34.8,34.8,34.8,34.8,34.8,34.8,35.0,35.1,35.1
영등포구,37.1,37.0,37.0,36.8,36.7,36.8,37.0,37.1,37.4
영등포구,59.5,59.6,59.7,59.9,60.1,60.2,60.4,60.6,60.9
영등포구,35.2,34.2,34.2,34.1,34.0,34.0,34.1,34.1,34.3
용산구,43.1,43.1,43.3,43.4,43.4,43.5,43.5,43.6,43.8
용산구,31.0,31.3,31.5,32.6,32.9,33.0,33.6,34.1,34.7
용산구,63.4,63.3,63.7,63.5,63.1,63.1,63.4,63.4,63.5
은평구,41.8,41.9,41.8,41.8,41.8,42.2,42.2,42.4,42.5
종로구,65.8,65.9,66.2,66.4,66.9,67.5,67.8,68.0,67.9
종로구,49.5,49.6,49.6,49.6,50.1,50.5,51.2,51.4,52.1
중구,62.4,62.6,63.2,63.2,63.3,63.9,64.0,64.3,64.6
중구,137.9,137.9,137.8,137.8,138.1,138.2,138.6,140.4,141.6
중구,52.9,52.9,53.0,52.6,52.8,53.1,53.6,53.4,53.5
중구,61.0,61.1,61.5,56.7,56.7,55.6,56.4,57.3,57.6
중구,82.9,82.9,83.4,83.7,83.8,84.6,85.9,87.6,88.3
중구,81.4,81.5,81.8,82.5,83.1,82.5,83.0,83.2,83.8
중랑구,46.0,46.2,46.3,46.3,46.3,46.4,46.4,46.5,46.6
