구,2019,2020,2021,2022
종로구,"260,446","284,570","275,063","278,403"
중구,"392,568","408,064","386,564","386,148"
용산구,"135,240","154,288","152,605","151,851"
성동구,"178,243","196,377","203,221","205,900"
광진구,"126,305","134,230","129,707","129,917"
동대문구,"138,400","148,308","146,383","145,879"
중랑구,"103,345","111,086","113,144","114,733"
성북구,"111,005","121,798","124,004","125,727"
강북구,"73,904","83,276","80,222","79,859"
도봉구,"72,939","79,429","79,097","77,618"
노원구,"116,684","127,454","133,398","129,198"
은평구,"93,631","108,362","109,031","107,697"
서대문구,"113,819","120,347","118,256","119,608"
마포구,"247,276","285,083","279,788","274,678"
양천구,"121,582","130,371","133,776","133,815"
강서구,"257,494","280,238","290,473","299,324"
구로구,"225,668","239,168","240,689","242,640"
금천구,"242,686","262,665","255,449","256,316"
영등포구,"373,478","434,698","435,017","433,237"
동작구,"106,159","110,642","109,281","107,069"
관악구,"115,329","135,681","128,417","126,395"
서초구,"438,985","497,678","487,976","492,367"
강남구,"698,840","838,446","801,419","802,908"
송파구,"341,201","411,898","400,781","409,305"
강동구,"141,770","164,769","157,465","164,833"
